,Topic,Count,Name,Representation,KeyBERT,Llama2,MMR,Representative_Docs
91,90,105,90_polyurethane_polyol_polyisocyanate_isocyanate,"['polyurethane', 'polyol', 'polyisocyanate', 'isocyanate', 'prepolymer', 'foam', 'polyols', 'foams', 'weight', 'diisocyanate']","['polyurethane', 'polyurethanes', 'polyisocyanate', 'polyisocyanates', 'polydiene', 'polymers', 'polyisocyanurate', 'polyol', 'prepolymers', 'polyether']","['Polyurethane Foam Composition and Applications', '', '', '', '', '', '', '', '', '']","['polyurethane', 'polyol', 'polyisocyanate', 'isocyanate', 'prepolymer', 'foam', 'polyols', 'foams', 'weight', 'diisocyanate']","['The present invention provides a flexible two component polyurethane\nand method for producing the polyurethane. The cured polyurethane is flexible,\ndurable and weather resistant. The polyurethane is suitable for use as\na protective layer on various substrates.The flexible polyurethane is\nthe reaction product of solvent free reaction components. The first\ncomponent includes one or more polyols, optionally, one or more diols,\nand a catalyst. The second component includes a primary aliphatic isocyanate\ncrosslinker.', 'A polyurethane foam composition comprising at least: at least one polyether polyol having an average molecular weight from 100-20,000; an aromatic polyisocyanate; a tackifying resin; a surfactant; a blowing agent, and a catalyst. A method for preparation of a polyurethane foam composition useful in shock absorption, is also disclosed.', 'A polyurethane composition useful for the manufacture of an elastomeric\npart is provided. The polyurethane composition comprises a polyisocyanate\nprepolymer and an active hydrogen containing compound, wherein from about\n10 about 60 percent by weight of the composition is a butylene oxide adduct\nand from about 70 to about 100 percent by weight of the butylene oxide\nadduct is present in the polyisocyanate prepolymer. A method for preparing\na polyurethane polymer from the polyurethane composition is also provided.\nAlso, a method for preparing polyurethane polymer article from the polyurethane\ncomposition is provided.']"
92,91,103,91_image_texture_pixel_images,"['image', 'texture', 'pixel', 'images', 'dimensional', 'graphics', 'values', 'graphical', 'camera', 'scene']","['subpixel', 'mapping', 'pixels', 'mapped', 'interpolation', 'cropping', 'representation', 'pixel', 'resolution', 'graphics']","['Image Processing and Graphics', '', '', '', '', '', '', '', '', '']","['image', 'texture', 'pixel', 'images', 'dimensional', 'graphics', 'values', 'graphical', 'camera', 'scene']","['A method for applying texture mapping in per pixel operations\nincludes receiving a plurality of parameters. The parameters define a\npixel value at a pixel in a graphics primitive. From among these parameters,\na set of parameters is selected to be associated with textures. The parameters\nthat are not selected define a set of unselected parameters that have\nconstant values over the primitive. A texture value is then determined\nfor each of the selected parameters by accessing a set of textures, with\nthe texture value for the selected parameters varying over the primitive.\nThe pixel value at the pixel is then evaluated using the constant unselected\nparameters and the texture values for the selected parameters. A device\nand system for applying texture mapping in per pixel operations\nalso are described.', 'A method for retrieving an image texture descriptor for describing\ntexture features of an image, including the steps of (a) filtering input\nimages using predetermined filters having different orientation coefficients,\n(b) projecting the filtered images onto axes of each predetermined direction\nto obtain data groups consisting of averages of each directional pixel\nvalues, (c) selecting candidate data groups among the data groups by a\npredetermined classification method, (d) determining a plurality of indicators\nbased on orientation coefficients of the filters used in filtering the\ncandidate data groups, and (e) determining the plurality of indicators\nas the texture descriptor of the image. The texture descriptors which\nallow kinds of texture structure present in an image to be perceptually\ncaptured can be retrieved.', 'A method of non linear and linear scale up or scale down image\nresolution conversion of digital images. The method is based on using non linear\nor linear pixel position control functions relating an output image pixel\ngrid to an input image pixel grid, where resolution of each grid is different.\nThe pixel position control functions enable calculation of real pixel\nposition coordinates of output image pixels, embedded within the input image\ngrid. A connection grid is set up as a graphical representation of using the\npixel position control functions.']"
93,92,103,92_flow_measuring_flowmeter_fluid,"['flow', 'measuring', 'flowmeter', 'fluid', 'measurement', 'meter', 'ultrasonic', 'velocity', 'pressure', 'tube']","['flowmeter', 'flowtube', 'downstream', 'flow', 'measured', 'measuring', 'upstream', 'calibration', 'multiphase', 'measurement']","['Flow measurement technologies', '', '', '', '', '', '', '', '', '']","['flow', 'measuring', 'flowmeter', 'fluid', 'measurement', 'meter', 'ultrasonic', 'velocity', 'pressure', 'tube']","['An ultrasonic flowmeter (110) using ultrasonic pulses transmitted within\na pipe (150) containing flowing fluid determines values, including flow\nrate or fluid velocity of the flowing fluid. The ultrasonic flowmeter\ntransmits trains of ultrasonic pulses having velocity components either\nin the upstream or downstream direction. The ultrasonic flowmeter includes\nthe transducer (130) placed downstream external to the pipe and a transducer\n(140) placed upstream external to the pipe. Time measurements are made\nto determine a time, TU, required for a pulse train to travel\nfrom the downstream transducer to the upstream transducer and the time,\nTD, required for a pulse train to travel from the upstream transducer\nto the downstream transducer. The ultrasonic flowmeter is configured to\nhave consistent triggering of the pulses of the pulse train to reduce\nerror. Also, the electronics (120) are simplified to allow for lower timing\nresolution requirements. Once TU and TD are determined,\na series of validation filters, parameter filters, coarse flow rate filters,\nand refined flow rate filters are used to determine flow measurement.\nAlternatively, fluid velocity filters are used. Also, diameter filters\nare used to determine the current interior diameter of the pipe. All measurements\nare made noninvasively. The system and method includes determining coefficients\nfor the various filters to account for variability in dimensions, parameters\nand conditions involved.', 'A flowmeter, and a method of, measuring the flow of a multi-phase fluid is described.\nThe flowmeter has a first pressure sensor located in a conduit for measuring a\nfirst pressure differential at a first location and a second response sensor\nspaced along the conduit for measuring a second pressure differential at a second\nlocation. The flowmeter includes pressure drop creation means for causing a\ndrop in fluid pressure between the first and second locations, and a water fraction\nmeter upstream of the first location or downstream of the second location for\nmeasuring the fraction of water in the multi-phase fluid. Various embodiments\nof the invention are described and in a preferred arrangement the first and second\npressure measuring means are venturi flowmeters.', 'An improved method and system for measuring a multi-phase flow\nin a pressure flow meter. An extended venturi (114) is used and pressure\nof the multi-phase flow is measured at three or more positions in\nthe venturi, which define two or more pressure differentials in the flow\nconduit. The differential pressures are then used to calculate the mass\nflow of the gas phases, the total mass flow, and the liquid phase. The\nmethod for determining the mass flow of the high void fraction fluid flow\nand the gas flow includes certain steps. The first step is calculating\na gas density for the gas flow (210). The next two steps are finding a\nnormalized gas mass flow rate through the venturi and computing a gas\nmass flow rate (220). The following step is estimating the gas velocity\nin the venturi tube throat (230). The next step is calculating the pressure\ndrop experienced by the gas phase due to work performed by the gas phase\nin accelerating the liquid phase between the upstream pressure measuring point\n(142) and the pressure measuring point in the venturi throat (240, 250).']"
94,93,102,93_connector_electrical_plug_contact,"['connector', 'electrical', 'plug', 'contact', 'housing', 'conductor', 'contacts', 'receptacle', 'terminal', 'cable']","['connectors', 'connector', 'conductive', 'receptacle', 'electrically', 'connected', 'an', 'insertion', 'wires', 'electrical']","['Electrical Connectors', '', '', '', '', '', '', '', '', '']","['connector', 'electrical', 'plug', 'contact', 'housing', 'conductor', 'contacts', 'receptacle', 'terminal', 'cable']","['A method and a device for cleaning of a first connector means (2) of\nan electrical connector device (1), which besides the first connector\nmeans also comprises a second connector means (3), whereby the connector\nmeans are arranged displaceable relative to each other between an open\nand a closed position. According to the method, the cleaning means (8)\nis attached to the second connector means (3) when the connector means\n(2, 3) are arranged in the open position, and that the cleaning means\n(8) is brought to cleaningly affect a contact surface at the first connector means,\nwhich surface in the closed position is intended to form an electrical connection\nwith a corresponding contact surface at the other connector means by moving\nthe connector means relative to each other towards the closed position.', 'An electrical plug connector (1) includes two separate modules, one\nof which is an electrical contact module (2) that plugs into the housing\n(4), and the other of which is a printed circuit board (3) that is secured\nto the housing upon insertion. The contacts (10) of the electrical contact\nmodule being arranged to engage terminals (29) of the printed circuit\nboard upon insertion of the respective modules into the connector housing.\nThe plug connector housing includes a pair of latch arms (17) and a guide\nslot (14), the contact module and the circuit board, each being arranged\nto be guided by the guide slot during insertion into the housing and to\ncapture one of the latch arms upon completion of insertion. To enable\nthe plug connector to be keyed to a specific receptacle, the plug includes\npolarization keys (8), and the receptacle includes corresponding slots\nwhose dimensions and configuration or position serve to key the plug to\nthe receptacle. In addition, the receptacle includes a filter block that\nsnaps into the receptacle housing and surrounds the contacts to provide\nEMI filtering.', 'A plug connector (10) to be actually mounted on one substrate K1 and a receptacle\nconnector (20) to be actually mounted on the other substrate K2 are provided.\nThe receptacle connector is provided with a housing (22) into which the plug connector\nis to be ins erted ad a plurality of pin terminals (23) arranged in an array to the\nhousing. The plug connector is provided with a plurality of contacts (12) having\ncontact pieces (11) in electrical contact with the respective pin terminals\nand a housing (13) for holding the respective contacts. A plurality of vertical\nshield plates (27) are provided between the respective pin terminals in the receptacle\nconnector. A plurality of horizontal shield plate (14) are provided to intersect\nwith the vertical shield plates (27) in a cruciform manner within said plug connector.\nSlits for advancing the vertical shield plates are formed in the housing of the\nplug connector and the horizontal shield plate (14).']"
95,94,102,94_key_encryption_encrypted_decryption,"['key', 'encryption', 'encrypted', 'decryption', 'private', 'public', 'cryptographic', 'data', 'encrypting', 'secure']","['encrypting', 'encrypted', 'encrypts', 'encrypt', 'decrypting', 'cryptographic', 'encryption', 'decryption', 'decrypt', 'decrypted']","['Cryptography and Key Management', '', '', '', '', '', '', '', '', '']","['key', 'encryption', 'encrypted', 'decryption', 'private', 'public', 'cryptographic', 'data', 'encrypting', 'secure']","[""A public key cryptosystem with roaming user capability within a network\nthat allows secure communication between users of the system, client machines, and\nencryption servers. A client machine generates and stores an encrypted private\nkey on an encryption server. A user may then access the encrypted private\nkey from any client machine located on the network and decrypt it using\na passphrase, thus giving the user roaming capability. The private key may\nthen be used to decrypt any encrypted messages received. A user can generate a\ndigital message, encrypt it with a client recipient's public key, and\ntransmit it to the encryption server from any client machine on the network."", 'Systems, methods and a modulated data signal are described herein that\nprovide an efficient way to derive a single key from which a user can\nextract virtually any number of data encryption keys. A database is logically\ndivided into segments and a small prime number is associated with each\nsegment. An encryption key is derived for each segment in the database\nand a key set is determined for distributing a data subset to a user.\nEach segment is encrypted with the corresponding encryption key. A single\nkey is derived using the prime numbers associated with the data segments and\nthe single key, the encrypted database, and a small amount of public information is\nprovided to the user. The user utilizes this information to extract the\nencryption key set from the single key. One implementation utilizes a\ntree structure to significantly reduce the number of modular exponentiations\nthat must be calculated when extracting the encryption keys. This, in\nturn, dramatically decreases the processing overhead that must be allocated\nto the processing associated with deriving the encryption keys.', 'A system and method for encryption and decryption of files. The system\nand method operate in conjunction with the file system to transparently\nencrypt and decrypt files in using a public key private key pair\nencryption scheme. When a user puts a file in an encrypted directory or\nencrypts a file, all data writes to the disk for that file are encrypted\nwith a random file encryption key generated from a random number and encrypted\nwith the public key of a user and the public key of at least one recovery\nagent. The encrypted key information is stored with the file, whereby\nthe user or a recovery agent can decrypt the file data using the private\nkey thereof. When a proper private key is used, encrypted reads from the\ndisk are decrypted transparently by the file system and returned to the\nuser.']"
96,95,101,95_die_package_pads_integrated,"['die', 'package', 'pads', 'integrated', 'circuit', 'interconnect', 'substrate', 'solder', 'chip', 'leads']","['interconnection', 'interconnect', 'interconnections', 'encapsulated', 'encapsulation', 'packaging', 'microelectronic', 'circuits', 'dielectric', 'interposer']","['Semiconductor Packaging', '', '', '', '', '', '', '', '', '']","['die', 'package', 'pads', 'integrated', 'circuit', 'interconnect', 'substrate', 'solder', 'chip', 'leads']","['A wafer level packaging method which produces a stacked dual/multiple die integrated circuit package (91). In the method, the wafer with the smaller sized dice (15) of two wafers is processed through a metal redistribution process and then solder balls are attached. The wafer is then sawed into individual die size ball-grid array packages. On the wafer with the larger sized dice (25), a die attached adhesive material (18) is deposited on the front of each die site location that is intended for the attachment of one of the die-sized BGA packages. The back side of the BGA die package is placed onto the adhesive material and is cured. A wirebonding operation connects the signals from the die-size BGA package to the circuits of the bottom die. A coating material (80), such as epoxy, is disposed on the wafer to cover the wirebond leads and the assembly is then cured. Then, the stacked-die wafer is singulated into individual stacked-die IC packages (91).', 'A package for housing a device (e.g., an integrated circuit chip or die) includes\na Faraday cage. The Faraday cage is at least partially formed in the integrated\ncircuit die. The die includes conductive vias and solder balls surrounding a\ncircuit. The package can be a ball grid array (BGA) package or flip chip package.\nThe package substrate can include a ground plane.', 'A semiconductor chip package, such as a semiconductor chip scale package, comprises\na top conductive layer. A die that includes a plurality of die bond pads is attached\nto the package. An inductor is provided on the top layer, such as by etching the\ninductor into the top layer, and the inductor is positioned off the die. The inductor\nis connected to at least one of the die bond pads.']"
97,96,99,96_harvesting_crop_harvester_combine,"['harvesting', 'crop', 'harvester', 'combine', 'straw', 'grain', 'tree', 'planting', 'threshing', 'harvested']","['harvesting', 'harvested', 'crops', 'crop', 'harvester', 'planting', 'seeding', 'agricultural', 'forage', 'harvest']","['Agricultural Harvesting Technology', '', '', '', '', '', '', '', '', '']","['harvesting', 'crop', 'harvester', 'combine', 'straw', 'grain', 'tree', 'planting', 'threshing', 'harvested']","[""An agricultural harvesting machine (10) (harvester) is automatically\ncontrolled and steered so as to completely harvest all crop in a field.\nA Global Positioning System (54) (GPS) and an Inertial Navigation System\n(56) provide data regarding the position and orientation of the harvester\nin a field. A Field Coverage Planner (116) constructs a field coverage\nplan which defines a path for the harvester (10) to follow in cutting\ncrop from a field. Video images of the field in front of the harvester\nare derived alternately from two video cameras (42, 44) mounted on opposite\nsides of the harvester. The video images are processed in a Video Processing\nComputer (48) to detect the crop line (16, 16') between cut and uncut\ncrop and generate steering signals for steering the harvester along the\ncrop line. Video images are also processed to detect the end of a row\n(18) at the end of a field and supply a measure of the distance to the\nend of the row. When the end of a row is reached, the harvester (10) executes\na 180 ° spin turn and traverses the field in the opposite direction."", 'A modular combine harvester (300) comprises a plurality of interconnectable harvesting\nassembly modules (310). Each harvesting assembly module (310) is provided\nwith a cutting means for cutting a crop, a threshing means (140) for threshing the\ncut crop, a separating means for separating grain from chaff and straw\nresulting from the threshed crop, and a conveying apparatus (120) for\nconveying straw to a rearward location of the harvesting assembly module\n(310). Each module (310) is also provided with a ground-following\nwheel assembly (330). The straw conveying apparatus (120) comprises a\nplurality of parallel transversely disposed rotatable shafts (30) for\nconveying straw to a rearward location of a combine harvester (200), each\nshaft (30) having a plurality of elongate members (40) outwardly extending\nfrom a surface (32) of the shaft (30), the relative spacing of the elongate members\n(40) of adjacent rotatable shafts (30) being such that respective outer portions\nof the elongate members (40) of each rotatable shaft (30) are receivable in\nspaces between outer portions of elongate members (40) of an adjacent\nrotatable shaft (30), such that, in use, the elongate members (40) of\nadjacent rotatable shafts (40) tease the straw to prevent the straw from\nbecoming matted.', 'A method of harvesting crops of the type falling in the genus Brassica\ncomprises lodging the crops using a crop pusher assembly transported by\na tractor and including a stationary crop pushing surface (26) which is\ninclined downwardly and rearwardly from an upper top edge to a position\nadjacent the ground. The surface is convex and includes a bottom pivotal\nflap (29) for following ground contour. The standing crop is moved to\na lodged position against the ground without cutting or breaking the crop\nstems. This prevents shattering of the crop by maintaining the crop in\nthe lodged position and causes the crop to continue to mature by maintaining\nthe stems without cutting or breaking. After the crop has matured, the\nlodged crop is cut with a header of a combine harvester for harvesting\nthe crop.']"
98,97,99,97_bone_implant_spinal_vertebrae,"['bone', 'implant', 'spinal', 'vertebrae', 'prosthesis', 'fixation', 'intervertebral', 'vertebral', 'prosthetic', 'spine']","['implants', 'implantation', 'implant', 'intervertebral', 'spine', 'fixation', 'vertebral', 'spinal', 'vertebrae', 'insertion']","['Spinal Implants and Fixation', '', '', '', '', '', '', '', '', '']","['bone', 'implant', 'spinal', 'vertebrae', 'prosthesis', 'fixation', 'intervertebral', 'vertebral', 'prosthetic', 'spine']","['A spinal implant (10) for intervertebral disc replacement. The implant\nis formed from two hemicylindrical elements (20, 22), each engaging one\nof an adjacent pair of vertebrae (12, 14). An articulating ball-and-socket\njoint and/or rocker and channel between the two elements resists compression\nand lateral movement between the vertebra, but allows pivotal movement,\nthereby preserving mobility. Fusion chambers (30, 34) are provided for\nallowing bone ingrowth to fuse the elements to the vertebrae. Biocompatible,\nbioreabsorbable struts, shims (82), fillers and/or end caps (90) are provided\nfor temporary stabilization of the first (20) and second (22) hemicylindrical\nelements. Bone chips removed from the vertebrae during implantation or\nbone growth stimulators can be inserted into the fusion chamber or otherwise\napplied to the implant to enhance bone ingrowth.', 'In one embodiment, a spinal fixation assembly (10) includes an elongated\nmember (R) configured for placement adjacent the spine and a bone engaging\nfastener (11) having a lower portion (15) configured for engaging a vertebra\nand a head (16) that is at least partially spherical. The assembly further\nincludes a receiver member (12) defining a bore (25) therethrough a recess\n(27) for receiving the head (16) of the bone engaging (11) fastener therein,\nand a lower opening at the bottom end of the receiver member through which\nthe bone screw extends. The recess (27) is configured to permit pivoting\nof the bone screw within the receiver member until the heat is fixed within\nthe recess. The receiver member (12) also includes a channel (33) communicating\nwith the bore and having an upper opening (35) at the top end of the receiver\nmember for insertion of the spinal rod into the channel. In one embodiment,\ntwo compression members (13) are provided, each being formed of a temperature\nresponsive material to contract about a portion of the receiver member\nto thereby compress the receiver member about both the head of the bone\nscrew and the spinal rod.', 'This invention relates to a spinal implant (110) for promoting fusion\nof adjacent vertebrae and restoration of normal disc height. The spinal\nimplant includes an upper and lower surface (120, 122) adapted to engage\ncancellous bone tissue in the vertebral bodies. The spinal implant also\nincludes at least two opposing bearing surfaces (138, 140) adapted to\nbear against cortical bone tissue in the endplates of adjacent vertebrae.\nThis invention also provides an instrumentation to prepare the intervertebral\nspace to receive the spinal implant and techniques for treating patients\nin need of corrective spinal surgery.']"
99,98,99,98_electron_cathode_ray_deflection,"['electron', 'cathode', 'ray', 'deflection', 'tube', 'mask', 'color', 'gun', 'screen', 'electrode']","['electron', 'cathode', 'electrons', 'emitter', 'magnetically', 'beam', 'an', 'ray', 'tube', 'apertures']","['Cathode Ray Tubes', '', '', '', '', '', '', '', '', '']","['electron', 'cathode', 'ray', 'deflection', 'tube', 'mask', 'color', 'gun', 'screen', 'electrode']","['The invention relates to a display device comprising a cathode ray tube including an electron source and an electron beam guidance cavity having an entrance aperture and an exit aperture for concentrating electrons emitted from the cathode in an electron beam. Furthermore, the cathode ray tube comprises a first electrode which is connectable to a first power supply for applying, in operation, an electric field with a first field strength E1 between the cathode and the exit aperture. (1 and E1 have values, which allow electron transport through the electron beam guidance cavity. Furthermore, a modulating means positioned between the cathode and the exit aperture is present for modulating a beam current to the display screen. According to the invention, the display device is provided with switching means for preventing the electron beam from passing through the exit aperture in a blanking period and for passing the electron beam through the exit aperture in a display period.', 'A cathode ray tube includes an electron gun directing electrons towards\na faceplate having an electrode biased at screen potential. The electron\nbeam is magnetically deflected to scan across the faceplate to impinge\nupon phosphors thereon to produce light depicting an image or information.\nAn electrode between the tube neck and the faceplate is biased at or above\nscreen potential. As a result, the electrons of the electron beam are\nadditionally deflected electrostatically so that a greater total deflection\nis obtained than is provided by the magnetic deflection yoke. Another\nelectrode proximate the faceplate is biased at or below screen potential\nto direct electrons towards the faceplate, thereby to increase the landing\nangle of the electron beam thereon.', 'A cathode ray tube comprising an electron source and an electron beam\nguidance cavity having an input aperture and an output aperture, wherein\nat least a part of the wall of the electron beam guidance cavity (220)\nnear the output aperture (223) comprises an insulating material having\na secondary emission coefficient  1 for cooperation with the cathode\n(205). Furthermore, the cathode ray tube comprises a first electrode (226)\nwhich is connectable to a first power supply means for applying, in operation,\nan electric field with a first field strength E1 between the cathode and\nthe output aperture.  1 and E1 have values which allow electron\ntransport through the electron beam guidance cavity. The cathode ray tube\nfurther comprises a conventional main lens to obtain a spot on a display screen.\nAccording to the invention, an electron lens is placed between the exit of\nthe cavity and the main lens for directing the electron beam at a predetermined angle\ntowards the entrance of the main lens.']"
100,99,98,99_cement_cementitious_concrete_additive,"['cement', 'cementitious', 'concrete', 'additive', 'cementing', 'binder', 'composition', 'aggregate', 'compositions', 'hydraulic']","['cementitious', 'cement', 'cements', 'concrete', 'concretes', 'cementing', 'aluminosilicates', 'aggregates', 'materials', 'mortar']","['Advanced Cementitious Materials and Compositions', '', '', '', '', '', '', '', '', '']","['cement', 'cementitious', 'concrete', 'additive', 'cementing', 'binder', 'composition', 'aggregate', 'compositions', 'hydraulic']","['Cementitious compositions, which may make use of waste glass, comprise glass material, alkali metal aluminate and a cement. Also provided are cementitious binders and solidifiable cementitious compositions (such as mortars and concretes) incorporating the cementitious compositions. The cementitious composition is mixed with water to form the cementitious binder, and aggregate is added to the cementitious binder to form solidifiable cementitious compositions. Solidifiable cementitious compositions formed from the cementitious compositions have superior early and long-term strength.', 'There is disclosed a cementitious composition comprising a hydraulic\ncement, and a hydrocarbon binder mixed in at least one organic solvent\nwhich mixture is dispersed essentially throughout the cement. The hydrocarbon\nbinder is substantially solid or semi solid at ambient temperature\nand the composition is setable by hydration of the hydraulic cement with\nsufficient water. There is also disclosed a method of preparing the composition\nas well as cementitious or concrete items made from the composition.', 'Compositions of the invention are made from a mixture of cement binder,\nground rubber particles, water, latex, and mineral aggregate. The cement\nbinder may be Portland cement or any other suitable cement. These compositions\nhave high flexural strength and dynamic impact resistance and can be used\nto make concrete (10), mortar (20), and cement board (30).']"
101,100,98,100_film_layer_films_ethylene,"['film', 'layer', 'films', 'ethylene', 'multilayer', 'copolymer', 'polypropylene', 'polyethylene', 'propylene', 'polymer']","['multilayer', 'layer', 'layers', 'microlayer', 'layered', 'homopolymer', 'polymers', 'isotactic', 'multi', 'biaxially']","['Multilayer Films for Food Packaging', '', '', '', '', '', '', '', '', '']","['film', 'layer', 'films', 'ethylene', 'multilayer', 'copolymer', 'polypropylene', 'polyethylene', 'propylene', 'polymer']","['A multilayer barrier packaging film suitable for use in fabricating\nbags for packaging primal and sub primal meat cuts and processed\nmeats. The multilayer film has a first outer layer of a thermoplastic\npolymer or copolymer, a first core layer of a barrier film comprising\nvinylidene chloride methyl acrylate copolymer, a second core layer\nof a thermoplastic polymer or copolymer, a third core layer of a barrier\nfilm including vinylidene chloride methyl acrylate copolymer, and\na second outer layer of a thermoplastic polymer or copolymer. More specifically,\nEVA, LLDPE, VLDPE and blends of these materials may be used in the first\nand second outer layer and in the second core layer. The multilayer film\nis preferably made by co extrusion of the layers, and then it is\nbiaxially stretched. After biaxial stretching, the multilayer film may\nbe irradiated to a dosage level of between 1 megarad and 10 megarads and\nheat sealed in the form of a bag. The bag has improved storage stability characteristics.', 'A metallized uniaxially heat shrinkable, biaxially oriented,\nmultilayer film having a polypropylene containing core layer comprising\nat least 70 wt.% of said multilayer film and at least one polyolefin containing skin\nlayer adjacent said core layer is prepared by biaxially orienting a coextrudate and\nthereafter orienting said coextrudate by stretching 10 to 40 % in the machine\ndirection. The core layer contains isotactic polypropylene and a modifier which\nreduces the crystallinity of the polypropylene by increasing chain imperfections or\nreducing isotacticity of the polypropylene containing core. Such modifiers\ncan be selected from the group consisting of atactic polypropylene, syndiotactic\npolypropylene, ethylene propylene copolymer, propylene butene 1 copolymer,\nethylene propylene butene 1 terpolymer, and linear low\ndensity polyethylene. The skin layer can be high density polyethylene or\nethylene propylene butene 1 terpolymer. A metallized layer,\nsuch as aluminum, is deposited on the corona treated skin layer.', 'The present invention is directed to a biaxially oriented multi layer film\nwhich comprises: (a) a core layer comprising a syndiotactic propylene polymer\nhomopolymer; and (b) at least one additional layer adjacent to the core\nlayer comprising a polymer which is an ethylene or a propylene homopolymer, ethylene\ncopolymer or terpolymer containing comonomers of propylene and/or butene 1.\nOptionally, there can be a skin layer applied to the exposed surface of\nthe outer layer. The skin layer and/or the at least one additional layer\nis a polyolefin selected from the group consisting of isotactic polypropylene, polyethylene,\nethylene propylene random copolymer, ethylene propylene block\ncopolymer or ethylene propylene butene 1 terpolymer.']"
102,101,97,101_damper_damping_vibration_isolator,"['damper', 'damping', 'vibration', 'isolator', 'piston', 'vibrations', 'fluid', 'torsional', 'elastomer', 'inner']","['damping', 'dampers', 'damper', 'dampening', 'damped', 'vibrations', 'damp', 'vibrating', 'vibration', 'inertial']","['Vibration Damping Technologies', '', '', '', '', '', '', '', '', '']","['damper', 'damping', 'vibration', 'isolator', 'piston', 'vibrations', 'fluid', 'torsional', 'elastomer', 'inner']","['A torsional vibration damper, for example a twin mass flywheel (10),\nhas an input element (11) and an output element (12) which are relatively\nrotatable against the action of a damping means which includes a plurality\nof linkages (40). Each linkage includes a plurality of interconnected\nlinks (41, 42), at least one of which is flexible in an axial sense relative\nto the remainder of the damper to accommodate forces applied to the flexible\nlink as a result of relative tilting of the damper elements (11, 12) during\nuse of the damper. Various designs of generally radially extending flexible\nbob weight links (41) and additional connecting links (42) are disclosed.', 'The invention relates to a method for damping vibration in a paper\nmachine or in a paper finishing device by means of a dynamic damper which\ncomprises an additional weight suspended from a vibrating object by means\nof a spring. In the method, the spring constant of the spring (3) of the\ndynamic damper and/or the mass (4) of the dynamic damper is/are changed\nby means of a control device (9) in order to tune the natural frequency\nof the dynamic damper. In an advantageous application of the invention,\nthe vibration induced by rolls (1) which are in nip contact is damped\nby means of the damper so that the damper is tuned to a frequency that\nis substantially equal to a multiple of the rotational frequency of the\nroll that is closest to the natural frequency of the vibrating system.\nThe invention also relates to an apparatus.', 'The object of the invention is a torsional vibration damping unit in the driving system\nof a reciprocating diesel engine intended for the limitation of the amplitude of\ntorsional vibration transferred between the engine main shaft and auxiliary mechanisms\nsuch as fuel injection pump, timing gear, oil or water pump, by intermediary of\nflexible shafts. The invention is characterised in that the vibration damper (3)\nof the main shaft (4) is mounted on this shaft (4) near the power take-off area (5)\nand that simultaneously on the injection pump coupling (7) an additional damper\n(6) is fitted, mating with the vibration damper (3) of the main shaft (4), the gear\noil pump (1) being provided with the gears having oblique teeth. As a vibration damper\n(3) of the main shaft (4), a known viscous damper is mounted, while as an additional\ndamper (6), on the injection pump coupling (7), a known friction damper is fitted.\nThe construction of a torsional vibration damping unit according to the invention\nallowed to restrict effectively the destructive action of torsional vibration\non the driving transmission of fuel injection pump and other mechanisms of the\nengine.']"
103,102,93,102_crystal_display_liquid_lcd,"['crystal', 'display', 'liquid', 'lcd', 'pixel', 'light', 'nematic', 'reflective', 'electrodes', 'pixels']","['nematic', 'lcd', 'polarizing', 'epitaxial', 'pixels', 'micromirrors', 'liquid', 'grating', 'chiral', 'electrochromic']","['Liquid Crystal Display Technology', '', '', '', '', '', '', '', '', '']","['crystal', 'display', 'liquid', 'lcd', 'pixel', 'light', 'nematic', 'reflective', 'electrodes', 'pixels']","['A liquid crystal material for a display device includes a first chiral\nnematic liquid crystal component and a second component that exhibits\nno liquid crystalline phase at any temperature. The second component is\npresent in an amount effective to reduce the bulk viscosity of the liquid\ncrystal material by at least about 26 % at room temperature or is present\nin an amount of at least about 5 % by weight based upon the total weight\nof the liquid crystal material. The liquid crystal material may have a\npositive dielectric anisotropy. The second component may have a molecular\nweight not exceeding 205 grams/mole. Embodiments relate to a display device\ncomprising the present material. Another aspect includes a method of increasing\nthe switching speed in a display that employs the present material.', 'Disclosed are liquid crystal phase retarders and linear polarizers\nand methods and apparatus for making the same. The liquid crystal phase retarder is\nrealized by a liquid crystal film structure having one or more phase retardation regions\nformed therein. Each phase retardation region has an optical axis specified\nby the direction and depth of orientation of liquid crystal molecules along\nthe surface of the liquid crystal film structure. The liquid crystal linear\npolarizer is realized by a liquid crystal film structure having a chiral phase\nregion within which liquid crystal molecules are cholesterically ordered (fig.\n3). One or more nematic phase regions are formed along the surface of the\nliquid crystal film structure within which liquid crystal molecules are oriented\nalong a direction and to a surface depth sufficient to realize one or\nmore phase retardation regions therein having optical axes along the diretion of\nliquid crystal molecules orientation.', 'The present invention provides a liquid crystal display comprising\na first electrode, a first liquid crystal layer provided on and in contact\nwith the first electrode, a second electrode provided on and in contact\nwith the first liquid crystal layer, a second liquid crystal layer provided\non and in contact with the second electrode, and a third electrode provided\non and in contact with the second liquid crystal layer. In a preferred\nembodiment, at least one of the electrodes is formed from a transparent\nprocessable conductive polymer.']"
